"agency","Year","Amount","Expenditure","country"
"UNRWA","2016","798684177.2","798,684,177","Occupied Palestinian Territory"
"WFP","2016","548136208.9","548,136,209","South Sudan"
"UNDP","2016","521444793","521,444,793","Afghanistan"
"WFP","2016","506238272.3","506,238,272","Syrian Arab Republic"
"WFP","2016","411291911.4","411,291,911","Ethiopia"
"UNHCR","2016","378108059","378,108,059","Lebanon"
"WFP","2016","335517496.4","335,517,496","Yemen"
"UNICEF","2016","293698495.1","293,698,495","Lebanon"
"UNHCR","2016","291618126.8","291,618,127","Iraq"
"UNICEF","2016","271117739.3","271,117,739","Congo (the Democratic Republic of the)"
"UNHCR","2016","253358834.8","253,358,835","Jordan"
"WTO","2016","249234707.3","249,234,707","Switzerland"
"UNICEF","2016","241636942.3","241,636,942","Nigeria"
"WFP","2016","238334071.5","238,334,072","Lebanon"
"WFP","2016","218453740.5","218,453,741","Sudan"
"UNHCR","2016","198962196.6","198,962,197","Afghanistan"
"WFP","2016","195101238.4","195,101,238","Malawi"
"UNICEF","2016","191937556.8","191,937,557","Ethiopia"
"UNRWA","2016","186351207.9","186,351,208","Syrian Arab Republic"
"WFP","2016","185383960.7","185,383,961","Iraq"
"WFP","2016","184363573.7","184,363,574","Jordan"
"UNICEF","2016","178024449.9","178,024,450","Syrian Arab Republic"
"UNHCR","2016","176470482.77","176,470,483","Syrian Arab Republic"
"UNICEF","2016","174960783.5","174,960,784","Iraq"
"UNDP","2016","173627991","173,627,991","Zimbabwe"
"ITU","2016","172505297.6","172,505,298","Switzerland"
"UNICEF","2016","171496954.7","171,496,955","Somalia"
"UNHCR","2016","166104656.5","166,104,657","Greece"
"UNRWA","2016","165969391.6","165,969,392","Lebanon"
"UNRWA","2016","165757528.9","165,757,529","Jordan"
"UNICEF","2016","164353854.3","164,353,854","Jordan"
"UNICEF","2016","148025449.3","148,025,449","Yemen"
"UNDP","2016","147984403","147,984,403","Argentina"
"UNICEF","2016","145007181.5","145,007,182","Afghanistan"
"UNICEF","2016","144572168","144,572,168","South Sudan"
"WFP","2016","143846626.1","143,846,626","Somalia"
"WHO","2016","143104475","143,104,475","Nigeria"
"UNDP","2016","140032815","140,032,815","Occupied Palestinian Territory"
"UNICEF","2016","137319494.7","137,319,495","Zimbabwe"
"UNICEF","2016","135743150.3","135,743,150","Pakistan"
"WFP","2016","133139403.9","133,139,404","Pakistan"
"UNHCR","2016","130283423.75999999","130,283,424","Ethiopia"
"UNHCR","2016","128747815.3","128,747,815","Turkey"
"UNHCR","2016","127800211.53","127,800,212","Kenya"
"UNDP","2016","127193759","127,193,759","Sudan"
"WFP","2016","119373451.3","119,373,451","Kenya"
"WFP","2016","118085771","118,085,771","Afghanistan"
"UNHCR","2016","117627405.8","117,627,406","South Sudan"
"UNICEF","2016","116557890.3","116,557,890","India"
"UNHCR","2016","109520360.9","109,520,361","Uganda"
"WHO","2016","106578241","106,578,241","Pakistan"
"WFP","2016","105430006.5","105,430,007","Congo (the Democratic Republic of the)"
"WFP","2016","103152148.1","103,152,148","Niger"
"UNICEF","2016","100398713.9","100,398,714","Sudan"
"WFP","2016","99926321.41","99,926,321","Chad"
"UNDP","2016","97665174","97,665,174","Iraq"
"UNICEF","2016","94700606.85","94,700,607","Turkey"
"WFP","2016","91017177.52","91,017,178","Uganda"
"UNDP","2016","90489219","90,489,219","South Sudan"
"UNICEF","2016","90157645.68","90,157,646","Nepal"
"ICAO","2016","87419492.26","87,419,492","Canada"
"UNICEF","2016","85013012.95","85,013,013","Chad"
"UNICEF","2016","84499427.09","84,499,427","Kenya"
"IOM","2016","84144722","84,144,722","Jordan"
"IOM","2016","83619667","83,619,667","Iraq"
"WFP","2016","78880299.03","78,880,299","Zimbabwe"
"UNDP","2016","77369501","77,369,501","Colombia"
"UNDP","2016","76803886","76,803,886","Lebanon"
"UNDP","2016","75955391","75,955,391","Congo (the Democratic Republic of the)"
"IOM","2016","75857947","75,857,947","Turkey"
"UNDP","2016","74548052","74,548,052","Ukraine"
"UNICEF","2016","74136768.15","74,136,768","Sierra Leone"
"UNHCR","2016","73118188.29","73,118,188","Sudan"
"UNDP","2016","72640532","72,640,532","Somalia"
"UNDP","2016","72043074","72,043,074","Senegal"
"UNDP","2016","71729600","71,729,600","Peru"
"UNICEF","2016","71421273.72","71,421,274","Mali"
"UNICEF","2016","71298402.53","71,298,403","Uganda"
"WFP","2016","70856655.63","70,856,656","Central African Republic"
"UNHCR","2016","70108551.29","70,108,551","Congo (the Democratic Republic of the)"
"IOM","2016","69555417","69,555,417","South Sudan"
"UNICEF","2016","69338258.67","69,338,259","Niger"
"UNOPS","2016","68804000","68,804,000","South Sudan"
"UNHCR","2016","67696931.41","67,696,931","Tanzania, United Republic of"
"UNHCR","2016","66971140.7","66,971,141","Yemen"
"WFP","2016","66965659.77","66,965,660","Turkey"
"UNOPS","2016","66406000","66,406,000","Mali"
"UNICEF","2016","64888361.46","64,888,361","Central African Republic"
"UNHCR","2016","64886432.43","64,886,432","Chad"
"UNDP","2016","63556465","63,556,465","Egypt"
"UNICEF","2016","63095932.23","63,095,932","Malawi"
"UNICEF","2016","62682379.5","62,682,380","Myanmar"
"IOM","2016","61257409","61,257,409","Colombia"
"WFP","2016","61119143.41","61,119,143","Cameroon"
"WFP","2016","60169493.45","60,169,493","Nigeria"
"UNHCR","2016","59773724.01","59,773,724","Pakistan"
"WHO","2016","58852651","58,852,651","Afghanistan"
"WFP","2016","56462048.78","56,462,049","Haiti"
"UNICEF","2016","55258292.17","55,258,292","Bangladesh"
"UNICEF","2016","54832424.65","54,832,425","Guinea"
"UNOPS","2016","54605000","54,605,000","Somalia"
"WFP","2016","53843251.11","53,843,251","Egypt"
"WHO","2016","53812733","53,812,733","India"
"UNDP","2016","53707359","53,707,359","Pakistan"
"WFP","2016","52769345.3","52,769,345","Mali"
"IOM","2016","52675521","52,675,521","Peru"
"UNICEF","2016","52261725.84","52,261,726","Liberia"
"UNHCR","2016","51919233.95","51,919,234","Cameroon"
"IOM","2016","50384206","50,384,206","Lebanon"
"IOM","2016","49162163","49,162,163","Indonesia"
"UNDP","2016","49116304","49,116,304","India"
"WHO","2016","48856712","48,856,712","Yemen"
"UNDP","2016","48295020","48,295,020","Central African Republic"
"UNICEF","2016","48275388.13","48,275,388","Zambia"
"UNDP","2016","48087035","48,087,035","Brazil"
"UNDP","2016","47890450","47,890,450","Haiti"
"UNDP","2016","47757315","47,757,315","Mali"
"IOM","2016","47223361","47,223,361","United States of America"
"UNICEF","2016","47218786.46","47,218,786","Tanzania, United Republic of"
"UNICEF","2016","47197055.43","47,197,055","Mozambique"
"UNHCR","2016","47090924.42","47,090,924","Somalia"
"UNDP","2016","46542536","46,542,536","Philippines"
"UNICEF","2016","45699085.05","45,699,085","Ghana"
"UNICEF","2016","45080068.74","45,080,069","Madagascar"
"IOM","2016","45008484","45,008,484","Kenya"
"WFP","2016","44851939.25","44,851,939","Occupied Palestinian Territory"
"UNDP","2016","44433197","44,433,197","Guatemala"
"FAO","2016","44375260.75","44,375,261","Somalia"
"UNICEF","2016","43596629.51","43,596,630","Cameroon"
"UNICEF","2016","43333240.42","43,333,240","Occupied Palestinian Territory"
"UNDP","2016","43241225","43,241,225","China"
"WFP","2016","42893576.14","42,893,576","Tanzania, United Republic of"
"UNOPS","2016","42534000","42,534,000","Denmark"
"WFP","2016","42082722.06","42,082,722","Myanmar"
"UNHCR","2016","41950195.85","41,950,196","Rwanda"
"WHO","2016","41917921","41,917,921","Congo (the Democratic Republic of the)"
"WHO","2016","41812734","41,812,734","Ethiopia"
"UNDP","2016","41736579","41,736,579","Zambia"
"UNDP","2016","41485128","41,485,128","Nepal"
"UNDP","2016","41366480","41,366,480","Saudi Arabia"
"WHO","2016","41199691","41,199,691","Iraq"
"UNDP","2016","40433674","40,433,674","Syrian Arab Republic"
"UNHCR","2016","39874413.17","39,874,413","Egypt"
"UNU","2016","39671358","39,671,358","Japan"
"UNICEF","2016","38480889.19","38,480,889","Philippines"
"FAO","2016","37910222.97","37,910,223","South Sudan"
"IOM","2016","37751753","37,751,753","Pakistan"
"WHO","2016","37451080","37,451,080","Guinea"
"UNICEF","2016","37329307.01","37,329,307","Côte d'Ivoire"
"UNICEF","2016","37151445.1","37,151,445","Burkina Faso"
"WHO","2016","36648746","36,648,746","Syrian Arab Republic"
"IOM","2016","36563404","36,563,404","Germany"
"UNDP","2016","36173512","36,173,512","Dominican Republic"
"WFP","2016","36090479.18","36,090,479","Bangladesh"
"WFP","2016","35569476.24","35,569,476","Honduras"
"UNICEF","2016","34590825.89","34,590,826","Burundi"
"UNDP","2016","34105050","34,105,050","Bosnia and Herzegovina"
"UNICEF","2016","33428052.05","33,428,052","Democratic People's Republic of Korea"
"IOM","2016","33025087","33,025,087","Ukraine"
"UNDP","2016","32721153","32,721,153","Indonesia"
"WFP","2016","32596644.8","32,596,645","Madagascar"
"UNDP","2016","32503237","32,503,237","Yemen"
"UNDP","2016","32473305","32,473,305","Bangladesh"
"UNHCR","2016","32463320.81","32,463,321","Iran (Islamic Republic of)"
"WFP","2016","32337872.2","32,337,872","Burundi"
"UNDP","2016","32289094","32,289,094","Kenya"
"UNDP","2016","31579025","31,579,025","Chad"
"UNICEF","2016","31577756.94","31,577,757","Haiti"
"UNOPS","2016","31546000","31,546,000","Switzerland"
"UNOPS","2016","31334000","31,334,000","Afghanistan"
"IOM","2016","31107757","31,107,757","Thailand"
"UNDP","2016","30432727","30,432,727","Tajikistan"
"IOM","2016","30416221","30,416,221","Somalia"
"WFP","2016","30304282.26","30,304,282","Nepal"
"UNICEF","2016","29823896.97","29,823,897","Fiji"
"UNICEF","2016","29710609.4","29,710,609","Ukraine"
"UNDP","2016","29459046","29,459,046","Tanzania, United Republic of"
"UNDP","2016","29454274","29,454,274","Liberia"
"UNDP","2016","29399117","29,399,117","Paraguay"
"WHO","2016","29396489","29,396,489","Somalia"
"UNICEF","2016","29348158.5","29,348,159","Rwanda"
"IOM","2016","29299079","29,299,079","Afghanistan"
"WHO","2016","29236335","29,236,335","Sierra Leone"
"UNOPS","2016","28972000","28,972,000","Congo (the Democratic Republic of the)"
"UNFPA","2016","28229934.14","28,229,934","Afghanistan"
"FAO","2016","28187118.62","28,187,119","Zimbabwe"
"IOM","2016","27778724","27,778,724","Tanzania, United Republic of"
"UNFPA","2016","27776120.58","27,776,121","Nigeria"
"UNDP","2016","27730955","27,730,955","El Salvador"
"UNDP","2016","27603411","27,603,411","Myanmar"
"IOM","2016","27400657","27,400,657","Nepal"
"UNDP","2016","27338255","27,338,255","Panama"
"UNDP","2016","27306393","27,306,393","Turkey"
"UNDP","2016","26859706","26,859,706","Nigeria"
"WFP","2016","26715061.93","26,715,062","Rwanda"
"UNDP","2016","26680181","26,680,181","Ethiopia"
"WHO","2016","26647220","26,647,220","Liberia"
"UN-HABITAT","2016","26592584.47","26,592,584","Afghanistan"
"UNHCR","2016","26442881.42","26,442,881","Central African Republic"
"WHO","2016","26337251","26,337,251","Myanmar"
"UNICEF","2016","25845559.49","25,845,559","China"
"WHO","2016","25713918","25,713,918","Sudan"
"IOM","2016","25688149","25,688,149","Philippines"
"UNDP","2016","25686622","25,686,622","Guinea"
"UNOPS","2016","25444000","25,444,000","United States of America"
"WFP","2016","25379452.5","25,379,453","Mozambique"
"FAO","2016","25365303.41","25,365,303","Afghanistan"
"WFP","2016","25147634.9","25,147,635","Senegal"
"UNHCR","2016","25136351.66","25,136,352","Niger"
"UNDP","2016","25093664","25,093,664","Jordan"
"IOM","2016","24792666","24,792,666","Argentina"
"UNICEF","2016","24668009.07","24,668,009","Angola"
"UNDP","2016","24627717","24,627,717","Mexico"
"WFP","2016","24254226.18","24,254,226","Democratic People's Republic of Korea"
"WFP","2016","24168131.65","24,168,132","Ukraine"
"IOM","2016","23989701","23,989,701","Greece"
"UNDP","2016","23665986","23,665,986","Viet Nam"
"UNOPS","2016","23516000","23,516,000","Sudan"
"UNDP","2016","23510561","23,510,561","Kyrgyzstan"
"UNDP","2016","23418215","23,418,215","Belarus"
"ICAO","2016","23344953.43","23,344,953","Argentina"
"UNICEF","2016","23308176.54","23,308,177","Cambodia"
"IOM","2016","23286444","23,286,444","Belgium"
"IOM","2016","23213077","23,213,077","Yemen"
"UNHCR","2016","22960066.97","22,960,067","Ukraine"
"UNFPA","2016","22776122.09","22,776,122","Congo (the Democratic Republic of the)"
"UNDP","2016","22664025","22,664,025","Malawi"
"WHO","2016","22257883","22,257,883","South Sudan"
"IOM","2016","22145406","22,145,406","Ethiopia"
"UNFPA","2016","21786788.24","21,786,788","Iraq"
"UNICEF","2016","21673594.95","21,673,595","Indonesia"
"UNDP","2016","21654062","21,654,062","Chile"
"UNIDO","2016","21521024.95","21,521,025","China"
"UNDP","2016","21438393","21,438,393","Honduras"
