"agency","Year","Amount","Expenditure","country"
"UN","2018","2196783760.38","2,196,783,760","United States of America (the)"
"UN","2018","859865525.3299999","859,865,525","Switzerland"
"WFP","2018","852774039.8","852,774,040","Yemen"
"PAHO","2018","682016487","682,016,487","United States of America (the)"
"UNRWA","2018","669472968","669,472,968","Syrian Arab Republic"
"WFP","2018","609713088.7","609,713,089","South Sudan"
"WFP","2018","495530801.3","495,530,801","Turkey"
"PAHO","2018","492521136","492,521,136","Brazil"
"UNDP","2018","488569299","488,569,299","Afghanistan"
"FAO","2018","464846180.2","464,846,180","Italy"
"UNICEF","2018","407304673.4","407,304,673","Yemen"
"WFP","2018","395570952.4","395,570,952","Italy"
"WFP","2018","348990003.6","348,990,004","Syrian Arab Republic"
"UNICEF","2018","335821737.1","335,821,737","Lebanon"
"UNHCR","2018","319697346","319,697,346","Lebanon"
"WFP","2018","313647000.2","313,647,000","Lebanon"
"UNDP","2018","300100031","300,100,031","Iraq"
"WFP","2018","295334373.6","295,334,374","Somalia"
"WFP","2018","289574858.7","289,574,859","Ethiopia"
"UNICEF","2018","275697035.8","275,697,036","Nigeria"
"WTO","2018","263483282.7","263,483,283","Switzerland"
"UN","2018","255897778.54000002","255,897,779","Afghanistan"
"WFP","2018","249570590","249,570,590","Sudan (the)"
"UN","2018","246769843.82","246,769,844","Iraq"
"WFP","2018","245767276.1","245,767,276","Congo (the Democratic Republic of the)"
"UNICEF","2018","245200601.4","245,200,601","Congo (the Democratic Republic of the)"
"UNHCR","2018","236004347.7","236,004,348","Greece"
"WFP","2018","234734642.8","234,734,643","Nigeria"
"UN","2018","228238778.22","228,238,778","Yemen"
"UNHCR","2018","225768427.1","225,768,427","Jordan"
"UNDP","2018","208530891","208,530,891","Yemen"
"UNHCR","2018","202771091.1","202,771,091","Syrian Arab Republic"
"UN","2018","201737946.3","201,737,946","Ethiopia"
"UNICEF","2018","201334745.8","201,334,746","South Sudan"
"UNICEF","2018","192302117.7","192,302,118","Turkey"
"WFP","2018","189275910.7","189,275,911","Jordan"
