"Year","country","Expenditure"
"2016","Global and Interregional","21,235,917,542"
"2016","Americas","1,459,558,355"
"2016","Lebanon","1,227,941,756"
"2016","Afghanistan","1,197,434,976"
"2016","Syrian Arab Republic","1,167,487,917"
"2016","South Sudan","1,126,304,295"
"2016","Occupied Palestinian Territory","1,067,850,642"
"2016","Iraq","941,002,492"
"2016","Jordan","916,783,020"
"2016","Ethiopia","877,818,711"
"2016","Yemen","687,159,986"
"2016","Congo (the Democratic Republic of the)","658,140,695"
"2016","Somalia","636,910,640"
"2016","Sudan","621,737,376"
"2016","Pakistan","568,999,786"
"2016","Nigeria","556,087,335"
"2016","Kenya","481,583,997"
"2016","Switzerland","461,607,051"
"2016","Zimbabwe","451,705,456"
"2016","Turkey","429,591,706"
"2016","Africa","384,567,467"
"2016","Uganda","353,862,548"
"2016","Chad","328,379,167"
"2016","Malawi","313,581,457"
"2016","Mali","291,128,173"
"2016","Central African Republic","263,825,286"
"2016","Niger","262,368,703"
"2016","Tanzania, United Republic of","258,250,297"
"2016","Myanmar","251,874,692"
"2016","India","247,553,661"
"2016","Nepal","235,963,812"
"2016","Egypt","230,695,575"
"2016","Argentina","225,537,459"
"2016","Colombia","207,448,659"
"2016","Bangladesh","206,526,295"
"2016","Ukraine","202,993,695"
"2016","Cameroon","199,536,442"
"2016","Greece","191,261,546"
"2016","Haiti","190,920,323"
"2016","Sierra Leone","175,668,141"
"2016","Guinea","173,011,970"
"2016","Liberia","168,854,249"
"2016","Peru","154,452,593"
"2016","Senegal","154,398,331"
"2016","Philippines","149,225,665"
"2016","Indonesia","143,938,031"
"2016","Zambia","136,461,906"
"2016","Rwanda","132,025,338"
"2016","Mozambique","131,099,755"
"2016","Europe","127,247,957"
"2016","Burundi","126,640,906"
"2016","Madagascar","118,807,226"
"2016","China","117,388,417"
"2016","Côte d'Ivoire","115,882,360"
"2016","Thailand","113,821,338"
"2016","Ghana","112,201,971"
"2016","Burkina Faso","108,553,576"
"2016","Asia excluding Japan","100,452,815"
"2016","Canada","96,952,629"
"2016","Latin America and the Caribbean","93,611,069"
"2016","Guatemala","89,998,006"
"2016","Central Asia","89,887,944"
"2016","Brazil","88,529,737"
"2016","United States of America","83,972,832"
"2016","Viet Nam","81,825,435"
"2016","Eastern mediterranean region","78,513,162"
"2016","Cambodia","77,779,831"
"2016","South-eastern Asia","77,598,525"
"2016","Democratic People's Republic of Korea","76,998,739"
"2016","Sri Lanka","75,479,181"
"2016","Ecuador","75,084,646"
"2016","Honduras","73,228,423"
"2016","South Africa","72,732,459"
"2016","Panama","72,465,402"
"2016","Western Africa","71,399,244"
"2016","Angola","68,645,084"
"2016","El Salvador","68,138,219"
"2016","Mauritania","67,599,078"
"2016","Iran (Islamic Republic of)","64,344,331"
"2016","Papua New Guinea","64,078,587"
"2016","Saudi Arabia","64,037,853"
"2016","Lao People's Democratic Republic","63,355,139"
"2016","Northern Africa","63,272,563"
