"agency","Year","Amount","Expenditure","country"
"UN","2017","806474881.39","806,474,881","Switzerland"
"UNRWA","2017","700462745","700,462,745","Occupied Palestinian Territory"
"WFP","2017","596169567.6","596,169,568","South Sudan"
"WFP","2017","591631260.1","591,631,260","Yemen"
"UNDP","2017","526437535","526,437,535","Afghanistan"
"WFP","2017","408027736.5","408,027,737","Syrian Arab Republic"
"WFP","2017","370317494.2","370,317,494","Turkey"
"UNICEF","2017","351638177","351,638,177","Lebanon"
"WFP","2017","334336693.7","334,336,694","Somalia"
"WFP","2017","322403830.3","322,403,830","Ethiopia"
"UNICEF","2017","314636760","314,636,760","Yemen"
"UNHCR","2017","311912143.8","311,912,144","Lebanon"
"UN","2017","293320869.4499999","293,320,869","Afghanistan"
"UNICEF","2017","288890205","288,890,205","Nigeria"
"WFP","2017","278816329","278,816,329","Nigeria"
"UN","2017","276536320.5","276,536,321","Iraq"
"UNHCR","2017","270174881.7","270,174,882","Iraq"
"WFP","2017","267714423.6","267,714,424","Lebanon"
"UN","2017","257789851.66","257,789,852","Somalia"
"UN","2017","240725071.05","240,725,071","Ethiopia"
"UNHCR","2017","236112112.7","236,112,113","Greece"
"UNHCR","2017","233970946.7","233,970,947","Jordan"
"UNDP","2017","230162693","230,162,693","Zimbabwe"
"UNRWA","2017","218830724","218,830,724","Jordan"
"UNDP","2017","217876899","217,876,899","Iraq"
"UNICEF","2017","210028070","210,028,070","Jordan"
"UNICEF","2017","208951889","208,951,889","Ethiopia"
"UNDP","2017","208796866","208,796,866","Argentina"
"UNICEF","2017","208317210","208,317,210","Congo (the Democratic Republic of the)"
"UNRWA","2017","206942627","206,942,627","Syrian Arab Republic"
"UNHCR","2017","203387502.86","203,387,503","Syrian Arab Republic"
"UNHCR","2017","196033417.9","196,033,418","Uganda"
"UNICEF","2017","188696179","188,696,179","Somalia"
"ITU","2017","187753076.7","187,753,077","Switzerland"
"UNICEF","2017","187356751","187,356,751","Afghanistan"
"UNICEF","2017","186627366","186,627,366","Iraq"
"UNRWA","2017","184207535","184,207,535","Lebanon"
"WFP","2017","177890381.4","177,890,381","Jordan"
"UN","2017","176491095.38","176,491,095","Yemen"
"WFP","2017","175882068.5","175,882,069","Sudan"
"UNICEF","2017","172568596","172,568,596","Syrian Arab Republic"
"UNICEF","2017","170505758","170,505,758","South Sudan"
"WFP","2017","169538166.6","169,538,167","Kenya"
"WFP","2017","166534362","166,534,362","Iraq"
"FAO","2017","159242024.9","159,242,025","Somalia"
"WFP","2017","157379129.1","157,379,129","Uganda"
"WFP","2017","156830939.5","156,830,940","Malawi"
"UNICEF","2017","153061948","153,061,948","Turkey"
"UNDP","2017","151811379","151,811,379","Sudan"
"UNHCR","2017","147742363.8","147,742,364","Turkey"
"UN","2017","143816695.36","143,816,695","Kenya"
"UNICEF","2017","141137935","141,137,935","Pakistan"
"UNHCR","2017","138943278.481","138,943,278","Ethiopia"
"WHO","2017","138630722","138,630,722","Pakistan"
"WHO","2017","136881383","136,881,383","Nigeria"
"UNICEF","2017","131183501","131,183,501","India"
"UNHCR","2017","128703535.373","128,703,535","Kenya"
"UNHCR","2017","127332817.5","127,332,818","South Sudan"
"WFP","2017","123495752","123,495,752","Congo (the Democratic Republic of the)"
"UNICEF","2017","122438333","122,438,333","Zimbabwe"
"IOM","2017","117359258","117,359,258","Iraq"
"UNDP","2017","114375512","114,375,512","Yemen"
"UNDP","2017","111945703","111,945,703","Occupied Palestinian Territory"
"WFP","2017","108762661.8","108,762,662","Niger"
"UNDP","2017","108359910","108,359,910","Ukraine"
"UN","2017","106665429.91","106,665,430","Austria"
"UNDP","2017","103205627","103,205,627","South Sudan"
"WFP","2017","103192533.6","103,192,534","Afghanistan"
"WFP","2017","101369764.5","101,369,765","Chad"
"UNDP","2017","97997003","97,997,003","Colombia"
"ICAO","2017","94997166.75","94,997,167","Canada"
"UN","2017","94679089.55","94,679,090","South Sudan"
"WHO","2017","94555588","94,555,588","Yemen"
"UN","2017","94367866.01","94,367,866","Congo (the Democratic Republic of the)"
"UNICEF","2017","92439680","92,439,680","Sudan"
"UN","2017","91225827.41999999","91,225,827","Lebanon"
"UNDP","2017","90136669","90,136,669","Congo (the Democratic Republic of the)"
"UN","2017","89797722.14","89,797,722","Thailand"
"UNICEF","2017","85164457","85,164,457","Sierra Leone"
"UN","2017","84580129.77999999","84,580,130","Chile"
"UNDP","2017","83365822","83,365,822","Senegal"
"WFP","2017","81229187.2","81,229,187","Pakistan"
"WHO","2017","81104538","81,104,538","Iraq"
"UN","2017","80792528.72","80,792,529","Sudan"
"UNICEF","2017","79870567","79,870,567","Chad"
"UN","2017","79144825.03999999","79,144,825","Syrian Arab Republic"
"UNHCR","2017","78591440.22","78,591,440","Congo (the Democratic Republic of the)"
"UNHCR","2017","78114593.28","78,114,593","Sudan"
"UNICEF","2017","75543263","75,543,263","Niger"
"UNHCR","2017","74515978.29","74,515,978","Somalia"
"UNHCR","2017","74333601.89","74,333,602","Chad"
"UNICEF","2017","74267755","74,267,755","Mozambique"
"UNICEF","2017","73973572","73,973,572","Mali"
"UNDP","2017","73411850","73,411,850","Somalia"
"UN","2017","72496238.46","72,496,238","Colombia"
"IOM","2017","72065335","72,065,335","Greece"
"UNICEF","2017","72032984","72,032,984","Kenya"
"IOM","2017","71927440","71,927,440","Turkey"
"UNHCR","2017","70509022.75","70,509,023","Afghanistan"
"IOM","2017","70464738","70,464,738","South Sudan"
"UNDP","2017","70286121","70,286,121","Lebanon"
"UN","2017","69007026.49000001","69,007,026","Turkey"
"UNICEF","2017","68813354","68,813,354","Nepal"
"WHO","2017","68463402","68,463,402","Afghanistan"
"UNICEF","2017","67482150","67,482,150","Uganda"
"UNOPS","2017","67315308","67,315,308","South Sudan"
"WFP","2017","66841302.58","66,841,303","Central African Republic"
"UNICEF","2017","64921634","64,921,634","Bangladesh"
"UNHCR","2017","64418728.4","64,418,728","Yemen"
"WHO","2017","62993739","62,993,739","India"
"WFP","2017","62958243.13","62,958,243","Cameroon"
"UNHCR","2017","62195394.24","62,195,394","Tanzania, United Republic of"
"WFP","2017","60903841.51","60,903,842","Mali"
"UNDP","2017","60332035","60,332,035","Brazil"
"WFP","2017","59323833.55","59,323,834","Egypt"
"UNICEF","2017","59303963","59,303,963","Malawi"
"UNICEF","2017","58499467","58,499,467","Central African Republic"
"UNDP","2017","56817232","56,817,232","Syrian Arab Republic"
"WFP","2017","56775680.93","56,775,681","Mozambique"
"FAO","2017","56354175.66","56,354,176","South Sudan"
"UNICEF","2017","55391706","55,391,706","Myanmar"
"UN","2017","54502703.8","54,502,704","Israel"
"UNOPS","2017","54368125","54,368,125","Somalia"
"UNOPS","2017","54362419","54,362,419","Mali"
"UN","2017","54016047.32","54,016,047","Nigeria"
"UNDP","2017","52560207","52,560,207","Pakistan"
"WFP","2017","52226903.22","52,226,903","Occupied Palestinian Territory"
"UNDP","2017","51962982","51,962,982","Guatemala"
"UN","2017","51921563.92","51,921,564","Central African Republic"
"IOM","2017","51420800","51,420,800","Colombia"
"WFP","2017","51097278.38","51,097,278","Zimbabwe"
"UNICEF","2017","50876496","50,876,496","Haiti"
"UNFPA","2017","50850897.08","50,850,897","Iraq"
"UNDP","2017","50256866","50,256,866","China"
"UNDP","2017","49527020","49,527,020","Mali"
"IOM","2017","49483359","49,483,359","Somalia"
"UNDP","2017","49099798","49,099,798","Malawi"
"UNHCR","2017","49098205.88","49,098,206","Pakistan"
"UNICEF","2017","49083838","49,083,838","Tanzania, United Republic of"
"UN","2017","48854149.25999999","48,854,149","Liberia"
"IOM","2017","48266861","48,266,861","Jordan"
"UNHCR","2017","48035216.94","48,035,217","Cameroon"
"UNDP","2017","47880799","47,880,799","Egypt"
"UNDP","2017","47834638","47,834,638","Chad"
"UNOPS","2017","47666089","47,666,089","Peru"
"UNICEF","2017","47025351","47,025,351","Madagascar"
"UNICEF","2017","46636154","46,636,154","Burundi"
"WFP","2017","45769733","45,769,733","Tanzania, United Republic of"
"UNICEF","2017","44635615","44,635,615","Ghana"
"IOM","2017","44474094","44,474,094","Indonesia"
"UNDP","2017","44294790","44,294,790","India"
"UNICEF","2017","42834851","42,834,851","Zambia"
