"Year","country","Expenditure"
"2018","Global and Interregional","15,562,929,096"
"2018","United States of America (the)","2,958,232,126"
"2018","Yemen","2,088,329,339"
"2018","Syrian Arab Republic","1,588,171,456"
"2018","Lebanon","1,368,608,611"
"2018","Afghanistan","1,352,561,258"
"2018","Switzerland","1,306,912,464"
"2018","South Sudan","1,306,768,598"
"2018","Iraq","1,261,199,828"
"2018","Somalia","1,088,162,428"
"2018","Turkey","1,078,756,397"
"2018","Ethiopia","995,323,733"
"2018","Italy","917,010,238"
"2018","Congo (the Democratic Republic of the)","913,804,416"
"2018","Jordan","902,013,903"
"2018","Nigeria","844,524,189"
"2018","Bangladesh","670,347,311"
"2018","Sudan (the)","632,843,477"
"2018","Kenya","621,268,217"
"2018","Brazil","606,466,313"
"2018","Pakistan","564,386,501"
"2018","Uganda","517,296,919"
"2018","Africa","432,551,688"
"2018","Colombia","419,615,561"
"2018","Palestine, State of","399,750,170"
"2018","Zimbabwe","397,923,511"
"2018","Chad","366,714,369"
"2018","Mali","339,533,356"
"2018","Niger (the)","338,267,137"
"2018","Asia","301,062,943"
"2018","Greece","300,720,093"
"2018","Ukraine","292,289,191"
"2018","Myanmar","291,339,592"
"2018","Central African Republic (the)","289,196,708"
"2018","Egypt","264,489,753"
"2018","India","252,162,593"
"2018","Argentina","247,638,258"
"2018","Tanzania, United Republic of","247,028,997"
"2018","Thailand","238,140,034"
"2018","Malawi","204,282,702"
"2018","Mozambique","192,131,210"
"2018","Guatemala","187,362,475"
"2018","Cameroon","185,818,749"
"2018","Burundi","179,960,257"
"2018","Libya","173,265,108"
"2018","Peru","166,854,112"
"2018","Latin America and the Caribbean","166,159,648"
"2018","Haiti","165,886,254"
"2018","Indonesia","164,929,759"
"2018","Liberia","163,153,621"
"2018","China","162,516,635"
"2018","Chile","155,682,878"
"2018","Europe","155,234,793"
"2018","Nepal","152,928,347"
"2018","Philippines (the)","146,447,820"
"2018","Sierra Leone","145,448,808"
"2018","Panama","143,005,928"
"2018","Burkina Faso","138,196,947"
"2018","Senegal","134,835,818"
"2018","Rwanda","124,035,084"
"2018","Madagascar","121,686,767"
"2018","Austria","121,518,984"
"2018","Côte d'Ivoire","117,397,466"
"2018","Zambia","110,533,616"
"2018","Ghana","105,355,524"
"2018","Cambodia","104,782,030"
"2018","Angola","97,542,115"
"2018","Guinea","94,687,671"
"2018","Mauritania","93,752,768"
"2018","Papua New Guinea","89,676,912"
"2018","Viet Nam","88,389,767"
"2018","Mexico","85,916,995"
"2018","South Africa","84,752,027"
"2018","El Salvador","81,713,107"
"2018","Americas","78,310,590"
"2018","Ecuador","76,104,247"
"2018","Honduras","75,838,319"
"2018","Guinea-Bissau","74,978,318"
"2018","Saudi Arabia","71,247,192"
"2018","Bosnia and Herzegovina","66,526,150"
"2018","Dominican Republic (the)","63,993,162"
"2018","Sri Lanka","63,026,697"
"2018","Iran (Islamic Republic of)","62,872,540"
"2018","Lao People's Democratic Republic (the)","62,441,901"
"2018","Southern Europe","59,938,936"
"2018","South-eastern Asia","59,623,464"
"2018","Morocco","58,160,821"
"2018","Benin","56,849,765"
"2018","Serbia","56,134,758"
"2018","Israel","55,331,596"
"2018","Tunisia","55,096,503"
"2018","Algeria","53,976,014"
"2018","Tajikistan","53,535,863"
"2018","Kyrgyzstan","52,843,839"
"2018","Togo","50,920,381"
"2018","Congo (the)","50,311,401"
"2018","Netherlands (the)","49,834,397"
"2018","Korea (the Democratic People's Republic of)","48,545,327"
"2018","Eritrea","48,216,260"
"2018","Fiji","48,072,747"
"2018","Paraguay","47,908,045"
"2018","Georgia","47,889,459"
"2018","Germany","47,329,841"
"2018","Uruguay","46,975,306"
"2018","Belgium","46,200,692"
"2018","Costa Rica","45,823,505"
"2018","Central Asia","45,508,757"
"2018","Cuba","45,187,283"
"2018","Bolivia (Plurinational State of)","44,345,162"
"2018","Djibouti","44,261,981"
"2018","Malaysia","43,075,306"
"2018","Moldova (the Republic of)","42,827,138"
"2018","Timor-Leste","41,285,077"
"2018","Gambia (the)","40,797,937"
"2018","Barbados","39,623,466"
"2018","Japan","38,842,003"
"2018","Uzbekistan","38,009,377"
"2018","Macedonia (the former Yugoslav Republic of)","35,095,143"
"2018","Kazakhstan","34,752,347"
"2018","Armenia","33,583,167"
"2018","Lesotho","32,108,444"
"2018","Venezuela (Bolivarian Republic of)","30,804,457"
"2018","Russian Federation (the)","28,655,695"
"2018","Hungary","28,332,636"
"2018","Oceania","27,880,202"
"2018","Albania","26,044,665"
"2018","Azerbaijan","25,207,107"
"2018","Gabon","24,510,213"
"2018","Western Africa","24,174,583"
"2018","Namibia","23,861,442"
"2018","Samoa","23,686,170"
"2018","Mongolia","23,596,249"
"2018","Kosovo","22,842,615"
"2018","Jamaica","22,501,771"
"2018","Western Asia","21,826,177"
"2018","Turkmenistan","21,452,392"
"2018","Nicaragua","21,174,291"
"2018","Guyana","20,801,241"
"2018","Kuwait","20,546,009"
"2018","Finland","19,782,330"
"2018","Comoros (the)","19,519,043"
"2018","Botswana","18,538,864"
"2018","Montenegro","18,427,509"
"2018","Belarus","17,870,369"
"2018","Bhutan","16,939,426"
"2018","Equatorial Guinea","16,668,950"
"2018","Cabo Verde","16,611,986"
"2018","Solomon Islands","15,857,934"
"2018","Sao Tome and Principe","15,564,514"
"2018","Cyprus","15,079,659"
"2018","Southern Asia","14,903,378"
"2018","Eastern Europe","14,823,375"
"2018","Eswatini","14,787,373"
"2018","Spain","14,780,435"
"2018","Trinidad and Tobago","14,037,086"
"2018","Maldives","13,067,192"
"2018","Northern Africa","10,659,487"
"2018","Belize","10,423,473"
"2018","Romania","10,324,879"
"2018","Eastern Africa","10,285,150"
"2018","Mauritius","9,758,574"
"2018","Caribbean","9,198,100"
